variable,x,y
mcmt_sept20,-40.6147225856781,0.0
mcmt_sept20,-40.511435918426514,0.0
mcmt_sept20,-40.408149251174926,0.0
mcmt_sept20,-40.30486258392334,0.0
mcmt_sept20,-40.20157591667176,0.0
mcmt_sept20,-40.09828924942017,0.0
mcmt_sept20,-39.99500258216858,0.0
mcmt_sept20,-39.89171591491699,0.0
mcmt_sept20,-39.788429247665405,0.0
mcmt_sept20,-39.68514258041382,0.0
mcmt_sept20,-39.58185591316223,0.0
mcmt_sept20,-39.47856924591065,0.0
mcmt_sept20,-39.37528257865906,0.0
mcmt_sept20,-39.27199591140747,0.0
mcmt_sept20,-39.168709244155885,0.0
mcmt_sept20,-39.0654225769043,0.0
mcmt_sept20,-38.96213590965271,0.0
mcmt_sept20,-38.85884924240112,0.0
mcmt_sept20,-38.75556257514954,0.0
mcmt_sept20,-38.65227590789795,0.0
mcmt_sept20,-38.548989240646364,0.0
mcmt_sept20,-38.445702573394776,0.0
mcmt_sept20,-38.34241590614319,0.0
mcmt_sept20,-38.2391292388916,0.0
mcmt_sept20,-38.13584257164001,0.0
mcmt_sept20,-38.03255590438843,0.0
mcmt_sept20,-37.92926923713684,0.0
mcmt_sept20,-37.825982569885255,0.0
mcmt_sept20,-37.72269590263367,0.0
mcmt_sept20,-37.61940923538208,0.0
mcmt_sept20,-37.51612256813049,0.0
mcmt_sept20,-37.41283590087891,0.0
mcmt_sept20,-37.30954923362732,0.0
mcmt_sept20,-37.206262566375734,0.0
mcmt_sept20,-37.10297589912415,0.0
mcmt_sept20,-36.99968923187256,0.0
mcmt_sept20,-36.89640256462097,0.0
mcmt_sept20,-36.79311589736939,0.0
mcmt_sept20,-36.6898292301178,0.0
mcmt_sept20,-36.586542562866214,0.0
mcmt_sept20,-36.483255895614626,0.0
mcmt_sept20,-36.37996922836304,0.0
mcmt_sept20,-36.27668256111145,0.09566473960876465
mcmt_sept20,-36.17339589385986,0.09977363795042038
mcmt_sept20,-36.07010922660828,0.10401424765586853
mcmt_sept20,-35.96682255935669,0.1083880215883255
mcmt_sept20,-35.863535892105105,0.11289624124765396
mcmt_sept20,-35.76024922485352,0.11754001677036285
mcmt_sept20,-35.65696255760193,0.12232028692960739
mcmt_sept20,-35.55367589035034,0.12723776698112488
